[a8] tag=h1f03w25 args: -G 5 -X 0.5 -T4 2 -T5 1 -U4 1e9 -L 0.5 -H 1 -W 0.25 -B 10 -F 0.3
  chain TCs       total=204886 mean=683.0 (T5-class=188218 T4-class=16668; 0 accepted chains below 4 layers dropped by K10)
  output TCs/evt  mean=2540.0 (pixel 1857.0 + chain 683.0)
  time mean/evt   infer=43.768 weld=4.630 arb+asm=0.710 fill=54.424 ms
  wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout/a8_arbitration/ab_h1f03w25.root
A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout/a8_arbitration/ab_h1f03w25_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3286       0.3264      +0.0022
eff overall (pt>0.9)             0.8178       0.8136      +0.0043
eff vxy [0,1)                    0.8512       0.8473      +0.0038
eff vxy [1,5)                    0.7965       0.7731      +0.0233
eff vxy [5,10)                   0.7129       0.6530      +0.0599
eff vxy [10,30)                  0.6757       0.6291      +0.0466
eff dxy [0,1)                    0.8434       0.8342      +0.0092
eff dxy [1,5)                    0.4925       0.4989      -0.0064
eff dxy [5,10)                   0.2281       0.2281      +0.0000
eff dxy [10,30)                  0.0214       0.0470      -0.0256
eff barrel |eta|<1.1             0.9295       0.9242      +0.0053
eff transition 1.1-1.7           0.8914       0.8826      +0.0088
eff endcap >1.7                  0.7573       0.7556      +0.0017
dup rate (pt sums)               0.2822       0.0499      +0.2322
dup rate (pt>0.9)                0.3098       0.0513      +0.2585
dup rate barrel                  0.3237       0.0097      +0.3140
dup rate transition              0.3701       0.0130      +0.3571
dup rate endcap                  0.2790       0.0846      +0.1944
fake rate (pt sums)              0.1077       0.0451      +0.0626
fake rate (pt>0.9)               0.1067       0.0455      +0.0612
fake rate barrel                 0.1707       0.0437      +0.1270
fake rate transition             0.1317       0.0459      +0.0858
fake rate endcap                 0.0548       0.0463      +0.0085
mean nhitOT                       7.317        6.514       +0.804
mean nhitOT barrel               10.197       10.151       +0.047
mean nhitOT transition           10.098       10.010       +0.089
mean nhitOT endcap                4.397        3.559       +0.838
n TC (fr denom)                  762001       610581      +151420
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout/a8_arbitration/ab_h1f03w25.json
